ISSN,ISSN2,title,peerreview
2074-62,NA,International Journal of Non-Linear Mechanics,Single blind
2352-0132,NA,International Journal of Nursing Sciences,Single blind
0959-289X,NA,International Journal of Obstetric Anesthesia,Single blind
1746-0689,NA,International Journal of Osteopathic Medicine,Single blind
1879-9817,NA,International Journal of Paleopathology,Single blind
1996-6814,NA,International Journal of Pavement Research and Technology,Single blind
1655-876,1655-876,International Journal of Pediatric Otorhinolaryngology,Single blind
2588-9109,NA,International Journal of Pediatric Otorhinolaryngology Case Reports,Single blind
2352-6467,NA,International Journal of Pediatrics and Adolescent Medicine,Single blind
3785-173,NA,International Journal of Pharmaceutics,Single blind
7496-419,NA,International Journal of Plasticity,Single blind
9255-273,NA,International Journal of Production Economics,Single blind
2637-863,NA,International Journal of Project Management,Single blind
1678-760,NA,International Journal of Psychophysiology,Single blind
2634-368,NA,International Journal of Refractory Metals and Hard Materials,Single blind
1407-007,NA,International Journal of Refrigeration,Single blind
1678-116,NA,International Journal of Research in Marketing,Single blind
1365-1609,NA,International Journal of Rock Mechanics and Mining Sciences,Single blind
2076-83,NA,International Journal of Solids and Structures,Single blind
1743-9191,NA,International Journal of Surgery,Other
2210-2612,NA,International Journal of Surgery Case Reports,Single blind
2405-8572,NA,International Journal of Surgery Open,Single blind
2468-3574,NA,International Journal of Surgery Protocols,Single blind
1290-0729,NA,International Journal of Thermal Sciences,Single blind
2046-0430,NA,International Journal of Transportation Science and Technology,Single blind
2314-4599,2314-4599,International Journal of Veterinary Science and Medicine,Single blind
2405-5352,NA,International Journal of e-Navigation and Maritime Economy,Single blind
1059-0560,NA,International Review of Economics & Finance,Single blind
1477-3880,NA,International Review of Economics Education,Single blind
1057-5219,NA,International Review of Financial Analysis,Single blind
1448-188,NA,International Review of Law and Economics,Single blind
2095-6339,NA,International Soil and Water Conservation Research,Single blind
2214-7829,NA,Internet Interventions,Single blind
2542-6605,NA,Internet of Things,Single blind
2352-5126,NA,JAAD Case Reports,Single blind
2352-5878,NA,JPRAS Open,Single blind
9221-425,NA,Japan and the World Economy,Single blind
2175-57,2175-57,Jornal de Pediatria,Single blind
1617-1381,NA,Journal for Nature Conservation,Single blind
7485-751,NA,Journal of Accounting Education,Single blind
7374-607,NA,Journal of Accounting Literature,Single blind
1654-101,NA,Journal of Accounting and Economics,Single blind
2784-254,NA,Journal of Accounting and Public Policy,Single blind
1401-971,1095-9254,Journal of Adolescence,Single blind
1054-139X,NA,Journal of Adolescent Health,Single blind
2090-1232,NA,Journal of Advanced Research,Single blind
2185-02,NA,Journal of Aerosol Science,Single blind
1650-327,NA,Journal of Affective Disorders,Single blind
1464-343X,NA,Journal of African Earth Sciences,Single blind
2214-8515,NA,Journal of African Trade,Single blind
8904-065,NA,Journal of Aging Studies,Single blind
9696-997,NA,Journal of Air Transport Management,Single blind
2186-93,1090-266X,Journal of Algebra,Single blind
9167-49,NA,Journal of Allergy and Clinical Immunology,Single blind
9258-388,NA,Journal of Alloys and Compounds,Single blind
1652-370,NA,Journal of Analytical and Applied Pyrolysis,Single blind
2352-4529,NA,Journal of Anesthesia History,Single blind
2784-165,1090-2686,Journal of Anthropological Archaeology,Single blind
8876-185,NA,Journal of Anxiety Disorders,Single blind
2085-216,NA,Journal of Applied Biomedicine,Single blind
1933-973,NA,Journal of Applied Developmental Psychology,Single blind
9269-851,NA,Journal of Applied Geophysics,Single blind
2211-3681,NA,Journal of Applied Research in Memory and Cognition,Single blind
2214-7861,NA,Journal of Applied Research on Medicinal and Aromatic Plants,Single blind
2190-45,1096-0430,Journal of Approximation Theory,Single blind
3054-403,1095-9238,Journal of Archaeological Science,Single blind
2214-9635,NA,Journal of Arthroscopy and Joint Surgery,Single blind
2287-884X,NA,Journal of Asia-Pacific Biodiversity,Single blind
1226-8615,NA,Journal of Asia-Pacific Entomology,Single blind
7439-547,NA,Journal of Asian Earth Sciences,Single blind
1049-0078,NA,Journal of Asian Economics,Single blind
1364-6826,NA,Journal of Atmospheric and Solar-Terrestrial Physics,Single blind
8968-411,1095-9157,Journal of Autoimmunity,Single blind
9759-476,NA,Journal of Ayurveda and Integrative Medicine,Single blind
3784-266,NA,Journal of Banking & Finance,Single blind
5791-6,NA,Journal of Behavior Therapy and Experimental Psychiatry,Single blind
2214-6350,NA,Journal of Behavioral and Experimental Finance,Single blind
1532-0464,1532-0480,Journal of Biomedical Informatics,Single blind
2588-9338,NA,Journal of Biosafety and Biosecurity,Single blind
1681-656,NA,Journal of Biotechnology,Single blind
1360-8592,NA,Journal of Bodywork and Movement Therapies,Single blind
2212-1374,NA,Journal of Bone Oncology,Single blind
2352-7102,NA,Journal of Building Engineering,Single blind
1482-963,NA,Journal of Business Research,Single blind
8839-026,NA,Journal of Business Venturing,Single blind
2352-6734,NA,Journal of Business Venturing Insights,Single blind
2212-9820,NA,Journal of CO2 Utilization,Single blind
2213-5383,NA,Journal of Cancer Policy,Single blind
2311-3006,NA,Journal of Cancer Research and Practice,Single blind
1071-9164,NA,Journal of Cardiac Failure,Single blind
9145-087,NA,Journal of Cardiology,Single blind
1878-5409,NA,Journal of Cardiology Cases,Single blind
1053-0770,NA,Journal of Cardiothoracic and Vascular Anesthesia,Single blind
1934-5925,NA,Journal of Cardiovascular Computed Tomography,Single blind
2195-17,1090-2694,Journal of Catalysis,Single blind
2352-1775,NA,Journal of Cellular Immunotherapy,Single blind
7335-210,1095-9963,Journal of Cereal Science,Single blind
8910-618,NA,Journal of Chemical Neuroanatomy,Single blind
1755-5345,NA,Journal of Choice Modelling,Single blind
2196-73,NA,Journal of Chromatography A,Single blind
1570-0232,NA,Journal of Chromatography B,Single blind
9596-526,NA,Journal of Cleaner Production,Single blind
9528-180,NA,Journal of Clinical Anesthesia,Single blind
8954-356,NA,Journal of Clinical Epidemiology,Single blind
1933-2874,NA,Journal of Clinical Lipidology,Single blind
9675-868,NA,Journal of Clinical Neuroscience,Single blind
9765-662,NA,Journal of Clinical Orthopaedics and Trauma,Single blind
2405-5794,NA,Journal of Clinical Tuberculosis and Other Mycobacterial Diseases,Single blind
1386-6532,NA,Journal of Clinical Virology,Single blind
9736-883,NA,Journal of Clinical and Experimental Hepatology,Single blind
2214-6245,NA,Journal of Clinical and Translational Endocrinology Case Reports,Single blind
2213-297X,NA,Journal of Co-operative Organization and Management,Single blind
2197-97,1095-7103,Journal of Colloid and Interface Science,Single blind
2237-9363,NA,Journal of Coloproctology,Single blind
2405-8513,NA,Journal of Commodity Markets,Single blind
2199-24,NA,Journal of Communication Disorders,Single blind
2199-75,NA,Journal of Comparative Pathology,Single blind
0885-064X,1090-2708,Journal of Complexity,Single blind
2288-4300,NA,Journal of Computational Design and Engineering,Single blind
2199-91,1090-2716,Journal of Computational Physics,Single blind
3770-427,NA,Journal of Computational and Applied Mathematics,Single blind
2200-00,1090-2724,Journal of Computer and System Sciences,Single blind
1697-722,NA,Journal of Contaminant Hydrology,Single blind
2212-1447,NA,Journal of Contextual Behavioral Science,Single blind
1683-659,NA,Journal of Controlled Release,Single blind
9291-199,NA,Journal of Corporate Finance,Single blind
1010-5182,NA,Journal of Cranio-Maxillofacial Surgery,Single blind
4723-52,NA,Journal of Criminal Justice,Single blind
8839-441,NA,Journal of Critical Care,Single blind
2202-48,NA,Journal of Crystal Growth,Single blind
2452-2325,NA,Journal of Current Ophthalmology,Single blind
1569-1993,NA,Journal of Cystic Fibrosis,Single blind
1991-7902,NA,Journal of Dental Sciences,Single blind
3005-712,NA,Journal of Dentistry,Single blind
9231-811,NA,Journal of Dermatological Science,Single blind
2212-571X,NA,Journal of Destination Marketing & Management,Single blind
3043-878,NA,Journal of Development Economics,Single blind
1056-8727,NA,Journal of Diabetes and its Complications,Single blind
2203-96,1090-2732,Journal of Differential Equations,Single blind
1570-8667,NA,Journal of Discrete Algorithms,Single blind
1773-2247,NA,Journal of Drug Delivery Science and Technology,Single blind
1672-681,1672-681,Journal of Economic Behavior & Organization,Single blind
1651-889,NA,Journal of Economic Dynamics and Control,Single blind
1674-870,NA,Journal of Economic Psychology,Single blind
2205-31,1095-7235,Journal of Economic Theory,Single blind
1486-195,NA,Journal of Economics and Business,Single blind
2314-7172,NA,Journal of Electrical Systems and Information Technology,Single blind
1572-6657,NA,Journal of Electroanalytical Chemistry,Single blind
2207-36,NA,Journal of Electrocardiology,Single blind
3043-886,NA,Journal of Electrostatics,Single blind
9917-67,NA,Journal of Emergency Nursing,Single blind
9275-398,NA,Journal of Empirical Finance,Single blind
9923-99,NA,Journal of Endodontics,Single blind
2095-4956,NA,Journal of Energy Chemistry,Single blind
2352-152X,NA,Journal of Energy Storage,Single blind
9234-748,NA,Journal of Engineering and Technology Management,Single blind
1475-1585,NA,Journal of English for Academic Purposes,Single blind
2213-3437,NA,Journal of Environmental Chemical Engineering,Single blind
3014-797,1095-8630,Journal of Environmental Management,Single blind
2724-944,1522-9610,Journal of Environmental Psychology,Single blind
0265-931X,NA,Journal of Environmental Radioactivity,Single blind
1001-0742,NA,Journal of Environmental Sciences,Single blind
2210-6006,2210-6006,Journal of Epidemiology and Global Health,Single blind
7370-806,NA,Journal of Equine Veterinary Science,Single blind
2352-6181,NA,Journal of Ethnic Foods,Single blind
3788-741,NA,Journal of Ethnopharmacology,Single blind
2452-4034,NA,Journal of EuCornea,Single blind
1879-3665,1879-3673,Journal of Eurasian Studies,Single blind
1728-869X,NA,Journal of Exercise Science & Fitness,Single blind
2209-65,1096-0457,Journal of Experimental Child Psychology,Single blind
2210-31,1096-0465,Journal of Experimental Social Psychology,Single blind
0304-405X,NA,Journal of Financial Economics,Single blind
1042-9573,1096-0473,Journal of Financial Intermediation,Single blind
1386-4181,NA,Journal of Financial Markets,Single blind
1572-3089,NA,Journal of Financial Stability,Single blind
0094-730X,NA,Journal of Fluency Disorders,Single blind
8899-746,1095-8622,Journal of Fluids and Structures,Single blind
2211-39,NA,Journal of Fluorine Chemistry,Single blind
8891-575,1096-0481,Journal of Food Composition and Analysis,Single blind
2608-774,NA,Journal of Food Engineering,Single blind
1021-9498,NA,Journal of Food and Drug Analysis,Single blind
2212-4780,NA,Journal of Forensic Radiology and Imaging,Single blind
1752-928X,NA,Journal of Forensic and Legal Medicine,Single blind
1104-6899,NA,Journal of Forest Economics,Single blind
1872-5813,NA,Journal of Fuel Chemistry and Technology,Single blind
2212-36,1096-0783,Journal of Functional Analysis,Single blind
1756-4646,NA,Journal of Functional Foods,Single blind
1687-157X,NA,Journal of Genetic Engineering and Biotechnology,Single blind
1673-8527,NA,Journal of Genetics and Genomics,Single blind
3756-742,NA,Journal of Geochemical Exploration,Single blind
2643-707,NA,Journal of Geodynamics,Single blind
3930-440,NA,Journal of Geometry and Physics,Single blind
1879-4068,NA,Journal of Geriatric Oncology,Single blind
1226-8453,NA,Journal of Ginseng Research,Single blind
2213-7165,NA,Journal of Global Antimicrobial Resistance,Single blind
2468-7847,NA,Journal of Gynecology Obstetrics and Human Reproduction,Single blind
2589-5141,NA,Journal of Hand Surgery Global Online,Single blind
8941-130,NA,Journal of Hand Therapy,Single blind
3043-894,NA,Journal of Hazardous Materials,Single blind
1676-296,NA,Journal of Health Economics,Single blind
2603-6479,NA,Journal of Healthcare Quality Research,Single blind
2210-8033,NA,Journal of Herbal Medicine,Single blind
2214-4048,NA,Journal of High Energy Astrophysics,Single blind
3057-488,1095-8614,Journal of Historical Geography,Single blind
1956-701,NA,Journal of Hospital Infection,Single blind
1447-6770,1839-5260,Journal of Hospitality and Tourism Management,Single blind
1051-1377,1096-0791,Journal of Housing Economics,Single blind
4724-84,1095-8606,Journal of Human Evolution,Single blind
1570-6443,NA,Journal of Hydro-environment Research,Single blind
2216-94,NA,Journal of Hydrology,Single blind
2217-59,NA,Journal of Immunological Methods,Single blind
2468-4988,NA,Journal of Immunology and Regenerative Medicine,Single blind
1561-8811,2213-3615,Journal of Indian College of Cardiology,Single blind
2452-414X,NA,Journal of Industrial Information Integration,Single blind
1226-086X,NA,Journal of Industrial and Engineering Chemistry,Single blind
1634-453,NA,Journal of Infection,Single blind
1341-321X,1437-7780,Journal of Infection and Chemotherapy,Single blind
1876-0341,NA,Journal of Infection and Public Health,Single blind
2214-2126,NA,Journal of Information Security and Applications,Single blind
1751-1577,NA,Journal of Informetrics,Single blind
1620-134,NA,Journal of Inorganic Biochemistry,Single blind
2219-10,2219-10,Journal of Insect Physiology,Single blind
2315-4616,NA,Journal of Integrative Medicine,Single blind
1094-9968,1520-6653,Journal of Interactive Marketing,Single blind
2219-96,NA,Journal of International Economics,Single blind
1075-4253,NA,Journal of International Management,Single blind
2615-606,NA,Journal of International Money and Finance,Single blind
2405-4526,NA,Journal of Interprofessional Education & Practice,Single blind
2220-11,1096-0805,Journal of Invertebrate Pathology,Single blind
0022-202X,1523-1747,Journal of Investigative Dermatology,Single blind
1087-0024,1529-1774,Journal of Investigative Dermatology Symposium Proceedings,Single blind
1319-1578,NA,Journal of King Saud University - Computer and Information Sciences,Single blind
1018-3639,NA,Journal of King Saud University - Engineering Sciences,Single blind
1018-3647,NA,Journal of King Saud University - Science,Single blind
2352-2208,NA,Journal of Logical and Algebraic Methods in Programming,Single blind
9504-230,NA,Journal of Loss Prevention in the Process Industries,Single blind
2223-13,NA,Journal of Luminescence,Single blind
1640-704,NA,Journal of Macroeconomics,Single blind
2213-9567,NA,Journal of Magnesium and Alloys,Single blind
3048-853,NA,Journal of Magnetism and Magnetic Materials,Single blind
1526-6125,NA,Journal of Manufacturing Processes,Single blind
2786-125,NA,Journal of Manufacturing Systems,Single blind
9247-963,NA,Journal of Marine Systems,Single blind
9240-136,NA,Journal of Materials Processing Technology,Single blind
2238-7854,NA,Journal of Materials Research and Technology,Single blind
2352-8478,NA,Journal of Materiomics,Single blind
0022-247X,1096-0813,Journal of Mathematical Analysis and Applications,Single blind
3044-068,NA,Journal of Mathematical Economics,Single blind
2224-96,1096-0880,Journal of Mathematical Psychology,Single blind
1939-8654,NA,Journal of Medical Imaging and Radiation Sciences,Single blind
3767-388,NA,Journal of Membrane Science,Single blind
0749-596X,1096-0821,Journal of Memory and Language,Single blind
1677-012,NA,Journal of Microbiological Methods,Single blind
1553-4650,NA,Journal of Minimally Invasive Gynecology,Single blind
2228-36,1089-8638,Journal of Molecular Biology,Single blind
1677-322,NA,Journal of Molecular Liquids,Single blind
2228-52,1096-083X,Journal of Molecular Spectroscopy,Single blind
2228-60,2228-60,Journal of Molecular Structure,Single blind
2228-28,1095-8584,Journal of Molecular and Cellular Cardiology,Single blind
3043-932,NA,Journal of Monetary Economics,Single blind
1042-444X,NA,Journal of Multinational Financial Management,Single blind
0047-259X,1095-7243,Journal of Multivariate Analysis,Single blind
2468-256X,NA,Journal of Natural Gas Geoscience,Single blind
1875-5100,NA,Journal of Natural Gas Science and Engineering,Single blind
1355-1841,NA,Journal of Neonatal Nursing,Single blind
1084-8045,1095-8592,Journal of Network and Computer Applications,Single blind
1655-728,NA,Journal of Neuroimmunology,Single blind
9116-044,NA,Journal of Neurolinguistics,Single blind
1509-861,NA,Journal of Neuroradiology,Single blind
1650-270,NA,Journal of Neuroscience Methods,Single blind
2230-93,NA,Journal of Non-Crystalline Solids,Single blind
3770-257,NA,Journal of Non-Newtonian Fluid Mechanics,Single blind
2231-15,2231-15,Journal of Nuclear Materials,Single blind
0022-314X,1096-1658,Journal of Number Theory,Single blind
1499-4046,NA,Journal of Nutrition Education and Behavior,Single blind
2211-3649,NA,Journal of Obsessive-Compulsive and Related Disorders,Single blind
1701-2163,NA,Journal of Obstetrics and Gynaecology Canada,Single blind
2468-0133,NA,Journal of Ocean Engineering and Science,Single blind
2452-3364,NA,Journal of Oncological Sciences,Single blind
2726-963,1873-1317,Journal of Operations Management,Single blind
1888-4296,1989-1342,Journal of Optometry,Single blind
2212-4268,NA,Journal of Oral Biology and Craniofacial Research,Single blind
1349-0079,1880-3865,Journal of Oral Biosciences,Single blind
2782-391,NA,Journal of Oral and Maxillofacial Surgery,Single blind
0022-328X,0022-328X,Journal of Organometallic Chemistry,Single blind
9492-658,1436-2023,Journal of Orthopaedic Science,Single blind
0972-978X,NA,Journal of Orthopaedics,Single blind
1672-2930,NA,Journal of Otology,Single blind
8853-924,NA,Journal of Pain and Symptom Management,Single blind
7437-315,1096-0848,Journal of Parallel and Distributed Computing,Single blind
8915-245,NA,Journal of Pediatric Health Care,Single blind
8825-963,NA,Journal of Pediatric Nursing,Single blind
2234-68,1531-5037,Journal of Pediatric Surgery,Single blind
2213-5766,NA,Journal of Pediatric Surgery Case Reports,Single blind
1477-5131,NA,Journal of Pediatric Urology,Single blind
1089-9472,NA,Journal of PeriAnesthesia Nursing,Single blind
9204-105,NA,Journal of Petroleum Science and Engineering,Single blind
2095-1779,NA,Journal of Pharmaceutical Analysis,Single blind
2235-49,1520-6017,Journal of Pharmaceutical Sciences,Single blind
7317-085,NA,Journal of Pharmaceutical and Biomedical Analysis,Single blind
1347-8613,1347-8648,Journal of Pharmacological Sciences,Single blind
1056-8719,NA,Journal of Pharmacological and Toxicological Methods,Single blind
1836-9553,NA,Journal of Physiotherapy,Single blind
1761-617,NA,Journal of Plant Physiology,Single blind
3787-753,3787-753,Journal of Power Sources,Single blind
9591-524,NA,Journal of Process Control,Single blind
8755-7223,NA,Journal of Professional Nursing,Single blind
2239-13,NA,Journal of Prosthetic Dentistry,Single blind
1883-1958,NA,Journal of Prosthodontic Research,Single blind
1874-3919,NA,Journal of Proteomics,Single blind
2239-56,NA,Journal of Psychiatric Research,Single blind
4727-27,NA,Journal of Public Economics,Single blind
2240-49,NA,Journal of Pure and Applied Algebra,Single blind
1687-8507,1687-8507,Journal of Radiation Research and Applied Sciences,Single blind
1546-0843,NA,Journal of Radiology Nursing,Single blind
2210-9706,NA,Journal of Rail Transport Planning & Management,Single blind
1002-0721,NA,Journal of Rare Earths,Single blind
1051-2276,1532-8503,Journal of Renal Nutrition,Single blind
1650-378,NA,Journal of Reproductive Immunology,Single blind
2243-59,NA,Journal of Retailing,Single blind
9696-989,NA,Journal of Retailing and Consumer Services,Single blind
1674-7755,NA,Journal of Rock Mechanics and Geotechnical Engineering,Single blind
1882-4560,2187-2627,Journal of Rural Studies,Single blind
2243-75,NA,Journal of Safety Research,Single blind
1319-6103,NA,Journal of Saudi Chemical Society,Single blind
2244-05,NA,Journal of School Psychology,Single blind
1440-2440,NA,Journal of Science and Medicine in Sport,Single blind
2245-96,1095-726X,Journal of Solid State Chemistry,Single blind
0022-460X,1095-8568,Journal of Sound and Vibration,Single blind
8959-811,NA,Journal of South American Earth Sciences,Single blind
2468-8967,NA,Journal of Space Safety Engineering,Single blind
2095-2546,NA,Journal of Sport and Health Science,Single blind
3783-758,NA,Journal of Statistical Planning and Inference,Single blind
0022-474X,NA,Journal of Stored Products Research,Single blind
1047-8477,1095-8657,Journal of Structural Biology,Single blind
1918-141,NA,Journal of Structural Geology,Single blind
7405-472,NA,Journal of Substance Abuse Treatment,Single blind
1931-7204,NA,Journal of Surgical Education,Single blind
2248-04,1095-8673,Journal of Surgical Research,Single blind
2300-3960,NA,Journal of Sustainable Mining,Single blind
7477-171,1095-855X,Journal of Symbolic Computation,Single blind
1383-7621,NA,Journal of Systems Architecture,Single blind
1641-212,NA,Journal of Systems and Software,Single blind
1658-3612,NA,Journal of Taibah University Medical Sciences,Single blind
2248-98,NA,Journal of Terramechanics,Single blind
1072-7515,NA,Journal of The American College of Surgeons,Single blind
8947-317,NA,Journal of The American Society of Echocardiography,Single blind
1600-32,NA,Journal of The Franklin Institute,Single blind
2251-93,1095-8541,Journal of Theoretical Biology,Single blind
3064-565,NA,Journal of Thermal Biology,Single blind
1556-0864,NA,Journal of Thoracic Oncology,Single blind
0965-206X,NA,Journal of Tissue Viability,Single blind
0946-672X,NA,Journal of Trace Elements in Medicine and Biology,Single blind
2095-7548,NA,Journal of Traditional Chinese Medical Sciences,Single blind
2546-272,NA,Journal of Traditional Chinese Medicine,Single blind
2095-7564,NA,Journal of Traffic and Transportation Engineering (English Edition),Single blind
2214-1405,NA,Journal of Transport & Health,Single blind
9666-923,NA,Journal of Transport Geography,Single blind
9411-90,1095-9068,Journal of Urban Economics,Single blind
2226-5856,NA,Journal of Urban Management,Single blind
1062-0303,NA,Journal of Vascular Nursing,Single blind
1558-7878,NA,Journal of Veterinary Behavior,Single blind
1660-934,NA,Journal of Virological Methods,Single blind
1879-1,1095-9084,Journal of Vocational Behavior,Single blind
8921-997,NA,Journal of Voice,Single blind
3770-273,NA,Journal of Volcanology and Geothermal Research,Single blind
1570-8268,NA,Journal of Web Semantics,Single blind
1090-9516,NA,Journal of World Business,Single blind
1525-8610,NA,Journal of the American Medical Directors Association,Single blind
1544-3191,NA,Journal of the American Pharmacists Association,Single blind
2213-2945,NA,Journal of the American Society of Cytopathology,Single blind
1933-1711,NA,Journal of the American Society of Hypertension,Single blind
1552-8855,1557-1289,Journal of the Association for Vascular Access,Single blind
1055-3290,NA,Journal of the Association of Nurses in AIDS Care,Single blind
1726-4901,NA,Journal of the Chinese Medical Association,Single blind
1110-0362,NA,Journal of the Egyptian National Cancer Institute,Single blind
1110-578X,NA,Journal of the Egyptian Society of Cardio-Thoracic Surgery,Single blind
1442-600,1746-0220,Journal of the Energy Institute,Single blind
9552-219,NA,Journal of the European Ceramic Society,Single blind
9296-646,NA,Journal of the Formosan Medical Association,Single blind
8891-583,1095-8681,Journal of the Japanese and International Economies,Single blind
1226-3192,NA,Journal of the Korean Statistical Society,Single blind
1751-6161,NA,Journal of the Mechanical Behavior of Biomedical Materials,Single blind
2250-96,NA,Journal of the Mechanics and Physics of Solids,Single blind
2796-84,NA,Journal of the National Medical Association,Single blind
1319-9218,NA,Journal of the Saudi Heart Association,Single blind
1658-077X,NA,Journal of the Saudi Society of Agricultural Sciences,Single blind
1876-1070,NA,Journal of the Taiwan Institute of Chemical Engineers,Single blind
2212-4438,NA,Journal of the World Federation of Orthodontists,Single blind
2405-609X,2405-6103,Karbala International Journal of Modern Science,Single blind
2452-3151,NA,Kasetsart Journal of Social Sciences,Single blind
8525-38,1523-1755,Kidney International,Single blind
2468-0249,NA,Kidney International Reports,Single blind
2157-1724,2157-1716,Kidney International Supplements,Single blind
9507-051,NA,Knowledge-Based Systems,Single blind
1212-4117,1804-7122,Kontakt,Single blind
2364-38,NA,LWT,Single blind
2214-4234,NA,La Revue Gestion et Organisation,Single blind
9275-371,NA,Labour Economics,Single blind
2648-377,NA,Land Use Policy,Single blind
1692-046,NA,Landscape and Urban Planning,Single blind
2715-309,NA,Language & Communication,Single blind
3880-001,NA,Language Sciences,Single blind
1041-6080,NA,Learning and Individual Differences,Single blind
9594-752,NA,Learning and Instruction,Single blind
2396-90,1095-9122,Learning and Motivation,Single blind
1344-6223,NA,Legal Medicine,Single blind
1452-126,1452-126,Leukemia Research,Single blind
2213-0489,NA,Leukemia Research Reports,Single blind
7408-188,NA,Library & Information Science Research,Single blind
2432-05,NA,Life Sciences,Single blind
2214-5524,NA,Life Sciences in Space Research,Single blind
7595-11,NA,Limnologica,Single blind
2437-95,NA,Linear Algebra and its Applications,Single blind
8985-898,NA,Linguistics and Education,Single blind
2449-37,NA,Lithos,Single blind
2542-5684,NA,Liver Research,Single blind
1871-1413,NA,Livestock Science,Single blind
2463-01,NA,Long Range Planning,Single blind
1695-002,NA,Lung Cancer,Single blind
0730-725X,NA,Magnetic Resonance Imaging,Single blind
1616-5047,NA,Mammalian Biology,Single blind
1044-5005,1096-1224,Management Accounting Research,Single blind
2213-8463,NA,Manufacturing Letters,Single blind
3044-203,NA,Marine Chemistry,Single blind
1411-136,NA,Marine Environmental Research,Single blind
1874-7787,NA,Marine Genomics,Single blind
2532-27,NA,Marine Geology,Single blind
3778-398,NA,Marine Micropaleontology,Single blind
0308-597X,NA,Marine Policy,Single blind
0025-326X,0025-326X,Marine Pollution Bulletin,Single blind
9518-339,NA,Marine Structures,Single blind
2648-172,NA,Marine and Petroleum Geology,Single blind
2589-1529,NA,Materialia,Single blind
2641-275,NA,Materials & Design,Single blind
2352-9245,NA,Materials Discovery,Single blind
0167-577X,NA,Materials Letters,Single blind
2554-08,NA,Materials Research Bulletin,Single blind
2589-2991,NA,Materials Science for Energy Technologies,Single blind
1369-8001,NA,Materials Science in Semiconductor Processing,Single blind
1369-7021,NA,Materials Today,Single blind
2468-5194,NA,Materials Today Chemistry,Single blind
2352-4928,NA,Materials Today Communications,Single blind
2468-6069,NA,Materials Today Energy,Single blind
2588-8420,NA,Materials Today Nano,Single blind
2542-5293,NA,Materials Today Physics,Single blind
2589-2347,NA,Materials Today Sustainability,Single blind
2555-64,NA,Mathematical Biosciences,Single blind
1654-896,NA,Mathematical Social Sciences,Single blind
3784-754,NA,Mathematics and Computers in Simulation,Single blind
0945-053X,NA,Matrix Biology,Single blind
2468-080X,2468-080X,Matter and Radiation at Extremes,Single blind
3785-122,NA,Maturitas,Single blind
2561-96,1942-5546,Mayo Clinic Proceedings,Single blind
2632-241,NA,Measurement,Single blind
3091-740,NA,Meat Science,Single blind
8883-270,1096-1216,Mechanical Systems and Signal Processing,Single blind
9364-13,NA,Mechanics Research Communications,Single blind
1676-636,NA,Mechanics of Materials,Single blind
0094-114X,NA,Mechanism and Machine Theory,Single blind
4763-74,4763-74,Mechanisms of Ageing and Development,Single blind
9254-773,NA,Mechanisms of Development,Single blind
9574-158,NA,Mechatronics,Single blind
9583-947,NA,Medical Dosimetry,Single blind
1350-4533,NA,Medical Engineering & Physics,Single blind
1361-8415,NA,Medical Image Analysis,Single blind
3771-237,NA,Medical Journal Armed Forces India,Single blind
2211-7539,NA,Medical Mycology Case Reports,Single blind
1134-248X,NA,Medicina Paliativa,Single blind
2212-6570,NA,Mental Health & Prevention,Single blind
1755-2966,NA,Mental Health and Physical Activity,Single blind
2214-5400,NA,Meta Gene,Single blind
1096-7176,1096-7184,Metabolic Engineering,Single blind
2214-0301,NA,Metabolic Engineering Communications,Single blind
2604-95,NA,Metabolism,Single blind
2606-57,NA,Metal Powder Report,Single blind
1046-2023,1095-9130,Methods,Single blind
2211-1220,NA,Methods in Oceanography,Single blind
8824-010,1096-1208,Microbial Pathogenesis,Single blind
2352-3522,NA,Microbial Risk Analysis,Single blind
9445-013,NA,Microbiological Research,Single blind
0026-265X,1095-9149,Microchemical Journal,Single blind
1679-317,NA,Microelectronic Engineering,Single blind
2626-92,NA,Microelectronics Journal,Single blind
2627-14,NA,Microelectronics Reliability,Single blind
9684-328,NA,Micron,Single blind
1387-1811,NA,Microporous and Mesoporous Materials,Single blind
1419-331,1419-331,Microprocessors and Microsystems,Single blind
2628-62,1095-9319,Microvascular Research,Single blind
1110-5690,NA,Middle East Fertility Society Journal,Single blind
2666-138,NA,Midwifery,Single blind
8926-875,NA,Minerals Engineering,Single blind
1567-7249,NA,Mitochondrion,Single blind
9829-97,NA,Molecular Aspects of Medicine,Single blind
2405-6758,NA,Molecular Astrophysics,Single blind
2468-8231,NA,Molecular Catalysis,Single blind
1096-7192,1096-7206,Molecular Genetics and Metabolism,Single blind
2214-4269,NA,Molecular Genetics and Metabolism Reports,Single blind
1615-890,NA,Molecular Immunology,Single blind
2212-8778,NA,Molecular Metabolism,Single blind
1055-7903,1095-9513,Molecular Phylogenetics and Evolution,Single blind
1666-851,NA,Molecular and Biochemical Parasitology,Single blind
3037-207,3037-207,Molecular and Cellular Endocrinology,Single blind
1044-7431,1095-9327,Molecular and Cellular Neuroscience,Single blind
2468-7812,NA,Musculoskeletal Science and Practice,Single blind
9638-695,NA,NDT & E International,Single blind
2352-3646,NA,NFS Journal,Single blind
2090-9977,2090-9977,NRIAG Journal of Astronomy and Geophysics,Single blind
1878-7789,NA,Nano Communication Networks,Single blind
2211-2855,NA,Nano Energy,Single blind
