"","ISSN","ISSN2","title","peerreview"
"X.2601","8985-898",NA,"Linguistics and Education","Single blind"
"X.2602","2449-37",NA,"Lithos","Single blind"
"X.2603","2542-5684",NA,"Liver Research","Single blind"
"X.2604","1871-1413",NA,"Livestock Science","Single blind"
"X.2605","2463-01",NA,"Long Range Planning","Single blind"
"X.2606","1695-002",NA,"Lung Cancer","Single blind"
"X.2608","0730-725X",NA,"Magnetic Resonance Imaging","Single blind"
"X.2609","1616-5047",NA,"Mammalian Biology","Single blind"
"X.2610","1044-5005","1096-1224","Management Accounting Research","Single blind"
"X.2611","2213-8463",NA,"Manufacturing Letters","Single blind"
"X.2612","3044-203",NA,"Marine Chemistry","Single blind"
"X.2613","1411-136",NA,"Marine Environmental Research","Single blind"
"X.2614","1874-7787",NA,"Marine Genomics","Single blind"
"X.2615","2532-27",NA,"Marine Geology","Single blind"
"X.2616","3778-398",NA,"Marine Micropaleontology","Single blind"
"X.2617","0308-597X",NA,"Marine Policy","Single blind"
"X.2618","0025-326X","0025-326X","Marine Pollution Bulletin","Single blind"
"X.2619","9518-339",NA,"Marine Structures","Single blind"
"X.2620","2648-172",NA,"Marine and Petroleum Geology","Single blind"
"X.2621","2589-1529",NA,"Materialia","Single blind"
"X.2622","2641-275",NA,"Materials & Design","Single blind"
"X.2625","2352-9245",NA,"Materials Discovery","Single blind"
"X.2626","0167-577X",NA,"Materials Letters","Single blind"
"X.2627","2554-08",NA,"Materials Research Bulletin","Single blind"
"X.2632","2589-2991",NA,"Materials Science for Energy Technologies","Single blind"
"X.2633","1369-8001",NA,"Materials Science in Semiconductor Processing","Single blind"
"X.2634","1369-7021",NA,"Materials Today","Single blind"
"X.2635","2468-5194",NA,"Materials Today Chemistry","Single blind"
"X.2636","2352-4928",NA,"Materials Today Communications","Single blind"
"X.2637","2468-6069",NA,"Materials Today Energy","Single blind"
"X.2638","2588-8420",NA,"Materials Today Nano","Single blind"
"X.2639","2542-5293",NA,"Materials Today Physics","Single blind"
"X.2640","2589-2347",NA,"Materials Today Sustainability","Single blind"
"X.2641","2555-64",NA,"Mathematical Biosciences","Single blind"
"X.2642","1654-896",NA,"Mathematical Social Sciences","Single blind"
"X.2643","3784-754",NA,"Mathematics and Computers in Simulation","Single blind"
"X.2644","0945-053X",NA,"Matrix Biology","Single blind"
"X.2645","2468-080X","2468-080X","Matter and Radiation at Extremes","Single blind"
"X.2646","3785-122",NA,"Maturitas","Single blind"
"X.2647","2561-96","1942-5546","Mayo Clinic Proceedings","Single blind"
"X.2649","2632-241",NA,"Measurement","Single blind"
"X.2650","3091-740",NA,"Meat Science","Single blind"
"X.2651","8883-270","1096-1216","Mechanical Systems and Signal Processing","Single blind"
"X.2652","9364-13",NA,"Mechanics Research Communications","Single blind"
"X.2653","1676-636",NA,"Mechanics of Materials","Single blind"
"X.2654","0094-114X",NA,"Mechanism and Machine Theory","Single blind"
"X.2655","4763-74","4763-74","Mechanisms of Ageing and Development","Single blind"
"X.2656","9254-773",NA,"Mechanisms of Development","Single blind"
"X.2657","9574-158",NA,"Mechatronics","Single blind"
"X.2658","9583-947",NA,"Medical Dosimetry","Single blind"
"X.2659","1350-4533",NA,"Medical Engineering & Physics","Single blind"
"X.2660","1361-8415",NA,"Medical Image Analysis","Single blind"
"X.2661","3771-237",NA,"Medical Journal Armed Forces India","Single blind"
"X.2662","2211-7539",NA,"Medical Mycology Case Reports","Single blind"
"X.2665","1134-248X",NA,"Medicina Paliativa","Single blind"
"X.2668","2212-6570",NA,"Mental Health & Prevention","Single blind"
"X.2669","1755-2966",NA,"Mental Health and Physical Activity","Single blind"
"X.2670","2214-5400",NA,"Meta Gene","Single blind"
"X.2671","1096-7176","1096-7184","Metabolic Engineering","Single blind"
"X.2672","2214-0301",NA,"Metabolic Engineering Communications","Single blind"
"X.2673","2604-95",NA,"Metabolism","Single blind"
"X.2674","2606-57",NA,"Metal Powder Report","Single blind"
"X.2675","1046-2023","1095-9130","Methods","Single blind"
"X.2676","2211-1220",NA,"Methods in Oceanography","Single blind"
"X.2677","8824-010","1096-1208","Microbial Pathogenesis","Single blind"
"X.2678","2352-3522",NA,"Microbial Risk Analysis","Single blind"
"X.2679","9445-013",NA,"Microbiological Research","Single blind"
"X.2680","0026-265X","1095-9149","Microchemical Journal","Single blind"
"X.2681","1679-317",NA,"Microelectronic Engineering","Single blind"
"X.2682","2626-92",NA,"Microelectronics Journal","Single blind"
"X.2683","2627-14",NA,"Microelectronics Reliability","Single blind"
"X.2684","9684-328",NA,"Micron","Single blind"
"X.2685","1387-1811",NA,"Microporous and Mesoporous Materials","Single blind"
"X.2686","1419-331","1419-331","Microprocessors and Microsystems","Single blind"
"X.2687","2628-62","1095-9319","Microvascular Research","Single blind"
"X.2688","1110-5690",NA,"Middle East Fertility Society Journal","Single blind"
"X.2689","2666-138",NA,"Midwifery","Single blind"
"X.2690","8926-875",NA,"Minerals Engineering","Single blind"
"X.2691","1567-7249",NA,"Mitochondrion","Single blind"
"X.2692","9829-97",NA,"Molecular Aspects of Medicine","Single blind"
"X.2693","2405-6758",NA,"Molecular Astrophysics","Single blind"
"X.2694","2468-8231",NA,"Molecular Catalysis","Single blind"
"X.2695","1096-7192","1096-7206","Molecular Genetics and Metabolism","Single blind"
"X.2696","2214-4269",NA,"Molecular Genetics and Metabolism Reports","Single blind"
"X.2697","1615-890",NA,"Molecular Immunology","Single blind"
"X.2698","2212-8778",NA,"Molecular Metabolism","Single blind"
"X.2699","1055-7903","1095-9513","Molecular Phylogenetics and Evolution","Single blind"
"X.2700","1666-851",NA,"Molecular and Biochemical Parasitology","Single blind"
"X.2701","3037-207","3037-207","Molecular and Cellular Endocrinology","Single blind"
"X.2702","1044-7431","1095-9327","Molecular and Cellular Neuroscience","Single blind"
"X.2704","2468-7812",NA,"Musculoskeletal Science and Practice","Single blind"
"X.2709","9638-695",NA,"NDT & E International","Single blind"
"X.2710","2352-3646",NA,"NFS Journal","Single blind"
"X.2712","2090-9977","2090-9977","NRIAG Journal of Astronomy and Geophysics","Single blind"
"X.2713","1878-7789",NA,"Nano Communication Networks","Single blind"
"X.2714","2211-2855",NA,"Nano Energy","Single blind"
"X.2715","1748-0132",NA,"Nano Today","Single blind"
"X.2716","2352-507X",NA,"Nano-Structures & Nano-Objects","Single blind"
"X.2717","2452-0748",NA,"NanoImpact","Single blind"
"X.2719","2589-5540",NA,"Nanotechnology and Precision Engineering","Single blind"
"X.2720","2352-8540",NA,"Natural Gas Industry B","Single blind"
"X.2723","1476-5586",NA,"Neoplasia","Single blind"
"X.2724","8936-080",NA,"Neural Networks","Single blind"
"X.2725","1053-8119","1095-9572","NeuroImage","Single blind"
"X.2727","0161-813X",NA,"NeuroToxicology","Single blind"
"X.2728","1974-580",NA,"Neurobiology of Aging","Single blind"
"X.2729","9699-961","1095-953X","Neurobiology of Disease","Single blind"
"X.2730","1074-7427","1095-9564","Neurobiology of Learning and Memory","Single blind"
"X.2731","2452-073X",NA,"Neurobiology of Pain","Single blind"
"X.2733","2352-2895",NA,"Neurobiology of Stress","Single blind"
"X.2734","1970-186","1970-186","Neurochemistry International","Single blind"
"X.2735","2837-70",NA,"Neurochirurgie","Single blind"
"X.2738","9252-312",NA,"Neurocomputing","Single blind"
"X.2741","2838-43","1897-4260","Neurologia i Neurochirurgia Polska","Single blind"
"X.2743","9608-966",NA,"Neuromuscular Disorders","Single blind"
"X.2744","1434-179",NA,"Neuropeptides","Single blind"
"X.2745","2839-08",NA,"Neuropharmacology","Single blind"
"X.2746","9877-053",NA,"Neurophysiologie clinique","Single blind"
"X.2747","2839-32",NA,"Neuropsychologia","Single blind"
"X.2748","3064-522",NA,"Neuroscience","Single blind"
"X.2749","1497-634",NA,"Neuroscience & Biobehavioral Reviews","Single blind"
"X.2750","3043-940",NA,"Neuroscience Letters","Single blind"
"X.2751","1680-102",NA,"Neuroscience Research","Single blind"
"X.2752","8920-362",NA,"Neurotoxicology and Teratology","Single blind"
"X.2753","1384-1076",NA,"New Astronomy","Single blind"
"X.2754","1387-6473",NA,"New Astronomy Reviews","Single blind"
"X.2755","1871-6784",NA,"New Biotechnology","Single blind"
"X.2756","1872-5805",NA,"New Carbon Materials","Single blind"
"X.2757","0732-118X",NA,"New Ideas in Psychology","Single blind"
"X.2758","2052-2975",NA,"New Microbes and New Infections","Single blind"
"X.2759","1089-8603","1089-8611","Nitric Oxide","Single blind"
"X.2760","2468-0540",NA,"Non-coding RNA Research","Single blind"
"X.2761","0362-546X",NA,"Nonlinear Analysis","Single blind"
"X.2764","2954-93",NA,"Nuclear Engineering and Design","Single blind"
"X.2765","1738-5733","2234-358X","Nuclear Engineering and Technology","Single blind"
"X.2768","2352-1791",NA,"Nuclear Materials and Energy","Single blind"
"X.2769","3759-474",NA,"Nuclear Physics A","Single blind"
"X.2770","5503-213","5503-213","Nuclear Physics B","Single blind"
"X.2771","2405-6014",NA,"Nuclear and Particle Physics Proceedings","Single blind"
"X.2772","2606-917",NA,"Nurse Education Today","Single blind"
"X.2773","1471-5953",NA,"Nurse Education in Practice","Single blind"
"X.2774","1541-4612",NA,"Nurse Leader","Single blind"
"X.2775","2965-54",NA,"Nursing Outlook","Single blind"
"X.2776","8999-007",NA,"Nutrition","Single blind"
"X.2777","2715-317",NA,"Nutrition Research","Single blind"
"X.2779","2451-8476",NA,"Obesity Medicine","Single blind"
"X.2780","1871-403X",NA,"Obesity Research & Clinical Practice","Single blind"
"X.2782","2980-18",NA,"Ocean Engineering","Single blind"
"X.2783","1463-5003",NA,"Ocean Modelling","Single blind"
"X.2784","7832-34","2300-7370","Oceanologia","Single blind"
"X.2785","3050-483",NA,"Omega","Single blind"
"X.2786","2542-5633",NA,"Oncology Signaling","Single blind"
"X.2787","2352-7714",NA,"One Health","Single blind"
"X.2788","2468-6964",NA,"Online Social Networks and Media","Single blind"
"X.2789","2352-9520",NA,"OpenNano","Single blind"
"X.2790","1676-377",NA,"Operations Research Letters","Single blind"
"X.2791","2214-7160",NA,"Operations Research Perspectives","Single blind"
"X.2792","2211-6923",NA,"Operations Research for Health Care","Single blind"
"X.2794","1522-2942",NA,"Operative Techniques in Thoracic and Cardiovascular Surgery","Single blind"
"X.2795","1616-420",NA,"Ophthalmology","Single blind"
"X.2796","2589-4196",NA,"Ophthalmology Glaucoma","Single blind"
"X.2797","2468-6530",NA,"Ophthalmology Retina","Single blind"
"X.2798","1068-5200","1095-9912","Optical Fiber Technology","Single blind"
"X.2799","9253-467",NA,"Optical Materials","Single blind"
"X.2800","3039-92",NA,"Optics & Laser Technology","Single blind"
"X.2801","3040-18",NA,"Optics Communications","Single blind"
"X.2802","1438-166",NA,"Optics and Lasers in Engineering","Single blind"
"X.2803","3040-26",NA,"Optik","Single blind"
"X.2804","1230-3402","1896-3757","Opto-Electronics Review","Single blind"
"X.2805","1368-8375",NA,"Oral Oncology","Single blind"
"X.2806","1348-8643","1881-4204","Oral Science International","Single blind"
"X.2808","2214-5419",NA,"Oral and Maxillofacial Surgery Cases","Single blind"
"X.2809","3043-87",NA,"Orbis","Single blind"
"X.2810","1691-368",NA,"Ore Geology Reviews","Single blind"
"X.2811","1566-1199",NA,"Organic Electronics","Single blind"
"X.2812","1466-380",NA,"Organic Geochemistry","Single blind"
"X.2813","7495-978","1095-9920","Organizational Behavior and Human Decision Processes","Single blind"
"X.2814","9026-16",NA,"Organizational Dynamics","Single blind"
"X.2815","1344-0241",NA,"Orthodontic Waves","Single blind"
"X.2816","2405-5255",NA,"Osteoporosis and Sarcopenia","Single blind"
"X.2817","2468-5488",NA,"Otolaryngology Case Reports","Single blind"
"X.2818","1934-1482","1934-1563","PM&R","Single blind"
"X.2819","0927-538X",NA,"Pacific-Basin Finance Journal","Single blind"
"X.2820","1526-0550","1526-0550","Paediatric Respiratory Reviews","Single blind"
"X.2821","1524-9042",NA,"Pain Management Nursing","Single blind"
"X.2823","1871-174X",NA,"Palaeoworld","Single blind"
"X.2824","2405-8521",NA,"Papillomavirus Research","Single blind"
"X.2825","1678-191",NA,"Parallel Computing","Single blind"
"X.2826","2405-6731",NA,"Parasite Epidemiology and Control","Single blind"
"X.2827","1383-5769",NA,"Parasitology International","Single blind"
"X.2828","1353-8020",NA,"Parkinsonism & Related Disorders","Single blind"
"X.2829","1674-2001",NA,"Particuology","Single blind"
"X.2830","3130-25","1465-3931","Pathology","Single blind"
"X.2831","3440-338",NA,"Pathology - Research and Practice","Single blind"
"X.2832","9284-680",NA,"Pathophysiology","Single blind"
"X.2833","7383-991",NA,"Patient Education and Counseling","Single blind"
"X.2834","3132-03",NA,"Pattern Recognition","Single blind"
"X.2835","1678-655",NA,"Pattern Recognition Letters","Single blind"
"X.2836","9172-394",NA,"Pediatric Dental Journal","Single blind"
"X.2837","2468-1245",NA,"Pediatric Hematology Oncology Journal","Single blind"
"X.2838","8878-994",NA,"Pediatric Neurology","Single blind"
"X.2840","3140-56",NA,"Pedobiologia","Single blind"
"X.2841","1002-0160",NA,"Pedosphere","Single blind"
"X.2842","1969-781",NA,"Peptides","Single blind"
"X.2843","2211-2669",NA,"Performance Enhancement & Health","Single blind"
"X.2844","1665-316",NA,"Performance Evaluation","Single blind"
"X.2846","2405-6030",NA,"Perioperative Care and Operating Room Management","Single blind"
"X.2847","1918-869",NA,"Personality and Individual Differences","Single blind"
"X.2848","2186-4950",NA,"Personalized Medicine Universe","Single blind"
"X.2849","2468-1717",NA,"Personalized Medicine in Psychiatry","Single blind"
"X.2850","2530-0644",NA,"Perspectives in Ecology and Conservation","Single blind"
"X.2852","2213-0209",NA,"Perspectives in Science","Single blind"
"X.2853","4835-75","1095-9939","Pesticide Biochemistry and Physiology","Single blind"
"X.2854","2405-6561",NA,"Petroleum","Single blind"
"X.2855","1876-3804",NA,"Petroleum Exploration and Development","Single blind"
"X.2856","2096-2495",NA,"Petroleum Research","Single blind"
"X.2857","2213-4344",NA,"PharmaNutrition","Single blind"
"X.2858","1734-1140",NA,"Pharmacological Reports","Single blind"
"X.2859","1043-6618","1096-1186","Pharmacological Research","Single blind"
"X.2860","9130-57",NA,"Pharmacology Biochemistry and Behavior","Single blind"
"X.2861","2213-5979",NA,"Photoacoustics","Single blind"
"X.2862","1572-1000",NA,"Photodiagnosis and Photodynamic Therapy","Single blind"
"X.2863","1569-4410",NA,"Photonics and Nanostructures - Fundamentals and Applications","Single blind"
"X.2869","1120-1797",NA,"Physica Medica","Single blind"
"X.2870","1874-4907",NA,"Physical Communication","Single blind"
"X.2871","1466-853X",NA,"Physical Therapy in Sport","Single blind"
"X.2873","3759-601",NA,"Physics Letters A","Single blind"
"X.2874","3702-693",NA,"Physics Letters B","Single blind"
"X.2875","3701-573",NA,"Physics Reports","Single blind"
"X.2876","7919-46",NA,"Physics and Chemistry of the Earth","Single blind"
"X.2877","2352-4510",NA,"Physics in Medicine","Single blind"
"X.2878","1571-0645",NA,"Physics of Life Reviews","Single blind"
"X.2879","2212-6864",NA,"Physics of the Dark Universe","Single blind"
"X.2880","3192-01","3192-01","Physics of the Earth and Planetary Interiors","Single blind"
"X.2881","8855-765","1096-1178","Physiological and Molecular Plant Pathology","Single blind"
"X.2882","3193-84",NA,"Physiology & Behavior","Single blind"
"X.2883","1230-8323","2083-8204","Physiotherapy","Single blind"
"X.2884","3194-22",NA,"Phytochemistry","Single blind"
"X.2885","1874-3900",NA,"Phytochemistry Letters","Single blind"
"X.2886","9447-113",NA,"Phytomedicine","Single blind"
"X.2887","2139-251",NA,"Piel","Single blind"
"X.2888","1434-004",NA,"Placenta","Single blind"
"X.2889","3206-33",NA,"Planetary and Space Science","Single blind"
"X.2890","2468-2659",NA,"Plant Diversity","Single blind"
"X.2891","2352-4073",NA,"Plant Gene","Single blind"
"X.2892","9819-428",NA,"Plant Physiology and Biochemistry","Single blind"
"X.2893","1689-452",NA,"Plant Science","Single blind"
"X.2894","0147-619X","1095-9890","Plasmid","Single blind"
"X.2895","0304-422X",NA,"Poetics","Single blind"
"X.2896","1873-9652",NA,"Polar Science","Single blind"
"X.2897","9626-298",NA,"Political Geography","Single blind"
"X.2898","2775-387","2775-387","Polyhedron","Single blind"
"X.2899","3238-61",NA,"Polymer","Single blind"
"X.2900","1413-910",NA,"Polymer Degradation and Stability","Single blind"
"X.2901","1429-418",NA,"Polymer Testing","Single blind"
"X.2902","9255-214",NA,"Postharvest Biology and Technology","Single blind"
"X.2903","3259-10",NA,"Powder Technology","Single blind"
"X.2904","2352-5517",NA,"Practical Laboratory Medicine","Single blind"
"X.2905","1879-8500",NA,"Practical Radiation Oncology","Single blind"
"X.2906","3019-268",NA,"Precambrian Research","Single blind"
"X.2907","1416-359",NA,"Precision Engineering","Single blind"
"X.2908","2210-7789",NA,"Pregnancy Hypertension","Single blind"
"X.2909","9174-35","1096-0260","Preventive Medicine","Single blind"
"X.2910","2211-3355",NA,"Preventive Medicine Reports","Single blind"
"X.2911","1675-877",NA,"Preventive Veterinary Medicine","Single blind"
"X.2912","1751-9918",NA,"Primary Care Diabetes","Single blind"
"X.2913","2668-920",NA,"Probabilistic Engineering Mechanics","Single blind"
"X.2914","2212-8271",NA,"Procedia CIRP","Single blind"
"X.2915","1877-0509",NA,"Procedia Computer Science","Single blind"
"X.2916","2210-9838",NA,"Procedia IUTAM","Single blind"
"X.2917","2452-3216",NA,"Procedia Structural Integrity","Single blind"
"X.2919","3295-92",NA,"Process Biochemistry","Single blind"
"X.2920","9575-820","9575-820","Process Safety and Environmental Protection","Single blind"
"X.2922","9608-974",NA,"Progress in Crystal Growth and Characterization of Materials","Single blind"
"X.2923","3601-285",NA,"Progress in Energy and Combustion Science","Single blind"
"X.2924","1637-827",NA,"Progress in Lipid Research","Single blind"
"X.2925","7964-25",NA,"Progress in Materials Science","Single blind"
"X.2928","1491-970",NA,"Progress in Nuclear Energy","Single blind"
"X.2929","7965-65",NA,"Progress in Nuclear Magnetic Resonance Spectroscopy","Single blind"
"X.2930","7966-11",NA,"Progress in Oceanography","Single blind"
"X.2931","3009-440",NA,"Progress in Organic Coatings","Single blind"
"X.2932","1466-410",NA,"Progress in Particle and Nuclear Physics","Single blind"
"X.2933","1058-9813",NA,"Progress in Pediatric Cardiology","Single blind"
"X.2935","7967-00",NA,"Progress in Polymer Science","Single blind"
"X.2936","7967-27",NA,"Progress in Quantum Electronics","Single blind"
"X.2937","1350-9462",NA,"Progress in Retinal and Eye Research","Single blind"
"X.2938","7967-86",NA,"Progress in Solid State Chemistry","Single blind"
"X.2939","7968-16",NA,"Progress in Surface Science","Single blind"
"X.2940","1098-8823",NA,"Prostaglandins & Other Lipid Mediators","Single blind"
"X.2942","2287-8882","2287-903X","Prostate International","Single blind"
"X.2943","1046-5928","1096-0279","Protein Expression and Purification","Single blind"
"X.2944","1434-4610",NA,"Protist","Single blind"
"X.2946","1651-781",NA,"Psychiatry Research","Single blind"
"X.2948","3064-530",NA,"Psychoneuroendocrinology","Single blind"
"X.2949","1469-0292",NA,"Psychology of Sport and Exercise","Single blind"
"X.2950","3331-82",NA,"Psychosomatics","Single blind"
"X.2951","3335-06",NA,"Public Health","Single blind"
"X.2952","3638-111",NA,"Public Relations Review","Single blind"
"X.2954","2531-0437",NA,"Pulmonology","Single blind"
"X.2955","1871-1014",NA,"Quaternary Geochronology","Single blind"
"X.2956","1040-6182",NA,"Quaternary International","Single blind"
"X.2957","2773-791",NA,"Quaternary Science Reviews","Single blind"
"X.2958","2531-0488",NA,"RAUSP Management Journal","Single blind"
"X.2959","2352-3093",NA,"REACH","Single blind"
"X.2960","1350-4487",NA,"Radiation Measurements","Single blind"
"X.2961","0969-806X",NA,"Radiation Physics and Chemistry","Single blind"
"X.2962","1078-8174",NA,"Radiography","Single blind"
"X.2965","1930-0433","1930-0433","Radiology Case Reports","Single blind"
"X.2966","2352-6211",NA,"Radiology of Infectious Diseases","Single blind"
"X.2968","1550-7424","1551-5028","Rangeland Ecology & Management","Single blind"
"X.2969","1900-528","1551-501X","Rangelands","Single blind"
"X.2970","1875-5372",NA,"Rare Metal Materials and Engineering","Single blind"
"X.2971","1381-5148",NA,"Reactive and Functional Polymers","Single blind"
"X.2972","2213-2317",NA,"Redox Biology","Single blind"
"X.2973","2352-3204",NA,"Regenerative Therapy","Single blind"
"X.2974","1660-462",NA,"Regional Science and Urban Economics","Single blind"
"X.2975","2352-4855",NA,"Regional Studies in Marine Science","Single blind"
"X.2976","2732-300","1096-0295","Regulatory Toxicology and Pharmacology","Single blind"
"X.2978","3436-17",NA,"Reinforced Plastics","Single blind"
"X.2979","9518-320",NA,"Reliability Engineering & System Safety","Single blind"
"X.2981","3442-57",NA,"Remote Sensing of Environment","Single blind"
"X.2983","9601-481",NA,"Renewable Energy","Single blind"
"X.2986","1472-6483",NA,"Reproductive BioMedicine Online","Single blind"
"X.2987","1642-431X",NA,"Reproductive Biology","Single blind"
"X.2988","2405-6618",NA,"Reproductive Biomedicine & Society Online","Single blind"
"X.2989","8906-238",NA,"Reproductive Toxicology","Single blind"
"X.2990","4873-33",NA,"Research Policy","Single blind"
"X.2991","1052-0457",NA,"Research in Accounting Regulation","Single blind"
"X.2992","1750-9467",NA,"Research in Autism Spectrum Disorders","Single blind"
"X.2993","8914-222",NA,"Research in Developmental Disabilities","Single blind"
"X.2994","1090-9443","1090-9451","Research in Economics","Single blind"
"X.2995","2755-319",NA,"Research in International Business and Finance","Single blind"
"X.2996","2765-624",NA,"Research in Social Stratification and Mobility","Single blind"
"X.2997","1551-7411",NA,"Research in Social and Administrative Pharmacy","Single blind"
"X.2998","2210-5395",NA,"Research in Transportation Business & Management","Single blind"
"X.2999","7398-859",NA,"Research in Transportation Economics","Single blind"
"X.3000","3452-88",NA,"Research in Veterinary Science","Single blind"
"X.3001","9287-655",NA,"Resource and Energy Economics","Single blind"
"X.3002","3014-207",NA,"Resources Policy","Single blind"
"X.3004","2212-5345",NA,"Respiratory Investigation","Single blind"
"X.3005","9546-111",NA,"Respiratory Medicine","Single blind"
"X.3006","2213-0071",NA,"Respiratory Medicine Case Reports","Single blind"
"X.3007","1569-9048",NA,"Respiratory Physiology & Neurobiology","Single blind"
"X.3008","2211-3797",NA,"Results in Physics","Single blind"
"X.3011","1879-9337",NA,"Review of Development Finance","Single blind"
"X.3012","1094-2025",NA,"Review of Economic Dynamics","Single blind"
"X.3013","3466-67",NA,"Review of Palaeobotany and Palynology","Single blind"
"X.3014","2405-4283",NA,"Reviews in Physics","Single blind"
"X.3015","1888-7546","2172-5063","Revista Andaluza de Medicina del Deporte","Single blind"
"X.3017","8556-26","8556-26","Revista Brasileira de Entomologia","Single blind"
"X.3018","1981-528X",NA,"Revista Brasileira de Farmacognosia","Single blind"
"X.3019","1982-4378",NA,"Revista Brasileira de Ortopedia","Single blind"
"X.3020","2255-4971",NA,"Revista Brasileira de Ortopedia (English Edition)","Single blind"
"X.3045","3537-87",NA,"Revue Neurologique","Single blind"
"X.3046","1878-6227",NA,"Revue du Rhumatisme monographies","Single blind"
"X.3047","2452-2198",NA,"Rhizosphere","Single blind"
"X.3048","9218-890",NA,"Robotics and Autonomous Systems","Single blind"
"X.3049","7365-845",NA,"Robotics and Computer-Integrated Manufacturing","Single blind"
"X.3050","1068-7971",NA,"Russian Geology and Geophysics","Single blind"
"X.3051","3043-479",NA,"Russian Literature","Single blind"
"X.3052","2352-8273",NA,"SSM - Population Health","Single blind"
"X.3053","9257-535",NA,"Safety Science","Single blind"
"X.3054","2093-7911","2093-7997","Safety and Health at Work","Single blind"
"X.3056","1319-562X",NA,"Saudi Journal of Biological Sciences","Single blind"
"X.3057","1319-4534",NA,"Saudi Journal of Ophthalmology","Single blind"
"X.3058","1319-0164",NA,"Saudi Pharmaceutical Journal","Single blind"
"X.3059","9565-221",NA,"Scandinavian Journal of Management","Single blind"
"X.3061","1355-0306",NA,"Science & Justice","Single blind"
"X.3062","2095-9273","2095-9281","Science Bulletin","Single blind"
"X.3063","2603-6363",NA,"Science and Technology of Materials","Single blind"
"X.3064","1676-423",NA,"Science of Computer Programming","Single blind"
"X.3066","3044-238",NA,"Scientia Horticulturae","Single blind"
"X.3068","1359-6462",NA,"Scripta Materialia","Single blind"
"X.3069","3707-38",NA,"Sedimentary Geology","Single blind"
"X.3071","4901-72",NA,"Seminars in Arthritis and Rheumatism","Single blind"
"X.3072","1084-9521","1096-3634","Seminars in Cell and Developmental Biology","Single blind"
"X.3074","3719-63",NA,"Seminars in Hematology","Single blind"
"X.3075","1044-5323","1096-3618","Seminars in Immunology","Single blind"
"X.3076","2709-295",NA,"Seminars in Nephrology","Single blind"
"X.3077","9377-54",NA,"Seminars in Oncology","Single blind"
"X.3078","7492-081",NA,"Seminars in Oncology Nursing","Single blind"
"X.3079","1043-0679",NA,"Seminars in Thoracic and Cardiovascular Surgery","Single blind"
"X.3081","8957-967",NA,"Seminars in Vascular Surgery","Single blind"
"X.3082","2214-1804",NA,"Sensing and Bio-Sensing Research","Single blind"
"X.3085","1383-5866",NA,"Separation and Purification Technology","Single blind"
"X.3086","1877-5756",NA,"Sexual & Reproductive HealthCare","Single blind"
"X.3087","2050-1161",NA,"Sexual Medicine","Single blind"
"X.3088","2050-0513","2050-0521","Sexual Medicine Reviews","Single blind"
"X.3090","1651-684",NA,"Signal Processing","Single blind"
"X.3092","1569-190X",NA,"Simulation Modelling Practice and Theory","Single blind"
"X.3093","2352-7218",NA,"Sleep Health","Single blind"
"X.3094","1389-9457",NA,"Sleep Medicine","Single blind"
"X.3095","9214-488",NA,"Small Ruminant Research","Single blind"
"X.3096","2352-6483",NA,"Smart Health","Single blind"
"X.3097","3788-733",NA,"Social Networks","Single blind"
"X.3098","2779-536",NA,"Social Science & Medicine","Single blind"
"X.3099","0049-089X","1096-0317","Social Science Research","Single blind"
"X.3100","3801-21",NA,"Socio-Economic Planning Sciences","Single blind"
"X.3101","2352-7110",NA,"SoftwareX","Single blind"
"X.3103","3807-17",NA,"Soil Biology and Biochemistry","Single blind"
"X.3104","2677-261",NA,"Soil Dynamics and Earthquake Engineering","Single blind"
"X.3105","3808-06","1881-1418","Soils and Foundations","Single blind"
"X.3106","0038-092X",NA,"Solar Energy","Single blind"
"X.3108","2451-912X",NA,"Solid Earth Sciences","Single blind"
"X.3109","3810-98",NA,"Solid State Communications","Single blind"
"X.3110","2589-2088",NA,"Solid State Electronics Letters","Single blind"
"X.3111","1672-738",NA,"Solid State Ionics","Single blind"
"X.3112","9262-040",NA,"Solid State Nuclear Magnetic Resonance","Single blind"
"X.3113","1293-2558",NA,"Solid State Sciences","Single blind"
"X.3114","3811-01",NA,"Solid-State Electronics","Single blind"
"X.3115","2546-299",NA,"South African Journal of Botany","Single blind"
"X.3116","1026-9185",NA,"South African Journal of Chemical Engineering","Single blind"
"X.3117","2659-646",NA,"Space Policy","Single blind"
"X.3118","2445-4249",NA,"Spanish Journal of Legal Medicine","Single blind"
"X.3119","2211-6753",NA,"Spatial Statistics","Single blind"
"X.3120","1877-5845",NA,"Spatial and Spatio-temporal Epidemiology","Single blind"
"X.3123","1676-393",NA,"Speech Communication","Single blind"
"X.3124","1441-3523",NA,"Sport Management Review","Single blind"
"X.3125","1677-152",NA,"Statistics & Probability Letters","Single blind"
"X.3126","1873-5061",NA,"Stem Cell Research","Single blind"
"X.3127","0039-128X",NA,"Steroids","Single blind"
"X.3128","3044-149",NA,"Stochastic Processes and their Applications","Single blind"
"X.3129","0954-349X",NA,"Structural Change and Economic Dynamics","Single blind"
"X.3130","1674-730",NA,"Structural Safety","Single blind"
"X.3132","0191-491X",NA,"Studies in Educational Evaluation","Single blind"
"X.3133","3936-81",NA,"Studies in History and Philosophy of Science Part A","Single blind"
"X.3136","1660-616","1872-9797","Studies in Mycology","Single blind"
